"quarter","molecule","product_type","brand","suffix","company","is_sb","is_orig","hcpcs_code","desc","payment_limit","addon_pct","ira_qualifying","asp_per_unit","asp","notes"
"2021 Q1 (Jan)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","44.902","6","False","42.360377","423.6",""
"2021 Q2 (Apr)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","41.952","6","False","39.577358","395.77",""
"2021 Q3 (Jul)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","41.319","6","False","38.980189","389.8",""
"2021 Q4 (Oct)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","39.532","6","False","37.29434","372.94",""
"2022 Q1 (Jan)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","37.682","6","False","35.549057","355.49","Updated April 2022"
"2022 Q2 (Apr)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","36.513","6","False","34.446226","344.46",""
"2022 Q3 (Jul)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","35.713","6","False","33.691509","336.92",""
"2022 Q4 (Oct)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","35.022","6","False","33.039623","330.4",""
"2023 Q1 (Jan)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","34.862","6","False","32.888679","328.89",""
"2023 Q2 (Apr)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","34.043","6","False","32.116038","321.16",""
"2023 Q3 (Jul)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","32.907","6","False","31.04434","310.44",""
"2023 Q4 (Oct)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","32.637","6","False","30.789623","307.9",""
"2024 Q1 (Jan)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","32.161","6","False","30.340566","303.41",""
"2024 Q2 (Apr)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","31.671","6","False","29.878302","298.78",""
"2024 Q3 (Jul)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","31.707","6","False","29.912264","299.12",""
"2024 Q4 (Oct)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","32.223","6","False","30.399057","303.99",""
"2025 Q1 (Jan)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","30.525","6","False","28.79717","287.97",""
"2025 Q3 (Jul)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","31.179","6","False","29.414151","294.14",""
"2025 Q4 (Oct)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","31.09","6","False","29.330189","293.3",""
"2026 Q1 (Jan)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","32.423","6","False","30.587736","305.88",""
"2026 Q2 (Apr)","Infliximab","Originator","Remicade","J1745","J&J (Janssen)","False","True","J1745","Infliximab not biosimil 10mg","31.041","6","False","29.283962","292.84",""
"2021 Q1 (Jan)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","42.086","8","True","38.69717","386.97",""
"2021 Q2 (Apr)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","40.875","8","True","37.708811","377.09",""
"2021 Q3 (Jul)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","39.557","8","True","36.438585","364.39",""
"2021 Q4 (Oct)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","38.792","8","True","35.808453","358.08",""
"2022 Q1 (Jan)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","39.584","6","False","37.451057","374.51",""
"2022 Q2 (Apr)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","61.095","6","False","59.028226","590.28",""
"2022 Q3 (Jul)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","51.253","6","False","49.231509","492.32",""
"2022 Q4 (Oct)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","48.649","6","False","46.666623","466.67",""
"2023 Q1 (Jan)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","45.471","6","False","43.497679","434.98",""
"2023 Q2 (Apr)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","36.43","6","False","34.503038","345.03",""
"2023 Q3 (Jul)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","35.547","6","False","33.68434","336.84",""
"2023 Q4 (Oct)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","32.562","8","True","30.09883","300.99","8% of reference add-on applied"
"2024 Q1 (Jan)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","31.499","8","True","29.071755","290.72","8% of reference add-on applied"
"2024 Q2 (Apr)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","30.579","8","True","28.188736","281.89","8% of reference add-on applied"
"2024 Q3 (Jul)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","29.911","8","True","27.518019","275.18","8% of reference add-on applied"
"2024 Q4 (Oct)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","27.182","8","True","24.750075","247.5","8% of reference add-on applied"
"2025 Q1 (Jan)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","26.263","8","True","23.959226","239.59","8% of reference add-on applied"
"2025 Q3 (Jul)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","25.053","8","True","22.699868","227.0","8% of reference add-on applied"
"2025 Q4 (Oct)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","26.999","8","True","24.652585","246.53","8% of reference add-on applied"
"2026 Q1 (Jan)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","27.754","8","True","25.306981","253.07","8% of reference add-on applied"
"2026 Q2 (Apr)","Infliximab","Biosimilar","Renflexis","infliximab-abda","Samsung Bioepis","True","False","Q5104","Injection, renflexis","26.803","8","True","24.460283","244.6","8% of reference add-on applied"
"2021 Q1 (Jan)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","43.059","8","True","39.67017","396.7",""
"2021 Q2 (Apr)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","40.611","8","True","37.444811","374.45",""
"2021 Q3 (Jul)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","40.052","8","True","36.933585","369.34",""
"2021 Q4 (Oct)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","41.188","6","False","38.95034","389.5",""
"2022 Q1 (Jan)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","40.574","6","False","38.441057","384.41",""
"2022 Q2 (Apr)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","38.682","6","False","36.615226","366.15",""
"2022 Q3 (Jul)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","33.257","8","True","30.561679","305.62",""
"2022 Q4 (Oct)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","30.945","8","True","28.30183","283.02","8% of reference add-on applied"
"2023 Q1 (Jan)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","24.417","8","True","21.785906","217.86","Updated January 2024 - 8% of reference add-on applied"
"2023 Q2 (Apr)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","19.983","8","True","17.413717","174.14","Updated January 2024 - 8% of reference add-on applied"
"2023 Q3 (Jul)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","17.581","8","True","15.097453","150.97","Updated January 2024 - 8% of reference add-on applied"
"2023 Q4 (Oct)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","13.931","8","True","11.46783","114.68","8% of reference add-on applied"
"2024 Q1 (Jan)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","14.294","8","True","11.866755","118.67","8% of reference add-on applied"
"2024 Q2 (Apr)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","11.092","8","True","8.701736","87.02","8% of reference add-on applied"
"2024 Q3 (Jul)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","10.663","8","True","8.270019","82.7","8% of reference add-on applied"
"2024 Q4 (Oct)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","13.618","8","True","11.186075","111.86","8% of reference add-on applied"
"2025 Q1 (Jan)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","11.55","8","True","9.246226","92.46","8% of reference add-on applied"
"2025 Q3 (Jul)","Infliximab","Biosimilar","Inflectra","infliximab-dyyb","Pfizer/Celltrion","False","False","Q5103","Injection, inflectra","19.679","8","True","17.325868","173.26","8% of reference add-on applied"
